id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,01/01/2022,Home,WM5,Westminster - Covent Garden,20.15365345,14.33383359,10.08690411,7.568659207,8.143531165,7.092829921,10.34152464,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.30068063,17.29950796,15.40864615,16.24702366,14.72348143,10.73315345
2,01/01/2022,Work,WM5,Westminster - Covent Garden,-999,-999,-999,-999,-999,-999,-999,10.60225273,14.06093418,14.73988222,12.69206446,11.64083846,12.63760323,16.09774014,16.30644856,12.31935477,15.46663154,15.04536821,-999,-999,-999,-999,-999,-999
3,02/01/2022,Home,WM5,Westminster - Covent Garden,7.686505153,5.742071307,5.057510249,5.895440964,4.843345043,4.736085228,6.257113179,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.1574591,17.21586937,16.89916132,15.63650201,14.05804586,13.26811906
4,02/01/2022,Work,WM5,Westminster - Covent Garden,-999,-999,-999,-999,-999,-999,-999,11.4019676,14.18394217,13.86649476,14.44267373,13.54860196,15.33307315,13.23038286,13.75458235,13.28010429,18.53379811,26.31056556,-999,-999,-999,-999,-999,-999
5,03/01/2022,Home,WM5,Westminster - Covent Garden,14.73871648,13.21261315,10.10863204,12.15772109,10.1050979,11.52336587,16.41304412,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,29.08156469,26.5017254,25.8167467,26.55309201,28.18439229,26.34085154
6,03/01/2022,Work,WM5,Westminster - Covent Garden,-999,-999,-999,-999,-999,-999,-999,16.72706423,15.51609031,13.3577378,16.77534228,16.24777034,18.66649698,21.40163906,21.08526712,23.55756172,27.03033309,29.50325247,-999,-999,-999,-999,-999,-999
7,04/01/2022,Home,WM5,Westminster - Covent Garden,18.49486148,18.9675352,17.54452984,18.06976118,18.06846146,19.2260716,20.59432251,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39.29352286,47.14800729,36.8157879,30.27830849,26.95615825,18.36089215
8,04/01/2022,Work,WM5,Westminster - Covent Garden,-999,-999,-999,-999,-999,-999,-999,30.18006976,38.50283728,35.44670573,23.48726911,20.79924238,25.11885427,26.2773176,31.75731497,34.70820906,36.86897885,36.13094986,-999,-999,-999,-999,-999,-999
9,05/01/2022,Home,WM5,Westminster - Covent Garden,16.88321703,12.24127607,10.71032014,11.49972181,12.65838997,15.66340133,22.94149856,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53.70742097,54.18404767,54.07876233,57.935612,55.66688597,55.88302735
10,05/01/2022,Work,WM5,Westminster - Covent Garden,-999,-999,-999,-999,-999,-999,-999,36.60390785,42.61875583,40.9320996,37.60858251,23.57148315,17.9765779,18.66121194,20.29582632,25.57224625,33.38279084,45.9987462,-999,-999,-999,-999,-999,-999
11,06/01/2022,Home,WM5,Westminster - Covent Garden,57.20576971,53.77266543,52.77145128,51.39985663,52.8302115,48.9665589,41.41048996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.42270319,17.98948672,17.82961488,21.95223992,26.9746785,22.31979071
12,06/01/2022,Work,WM5,Westminster - Covent Garden,-999,-999,-999,-999,-999,-999,-999,51.66978908,56.33023641,54.01084548,52.68734987,49.7683471,48.65587831,42.04976244,44.79695791,46.32959951,28.61829788,25.65719721,-999,-999,-999,-999,-999,-999
13,07/01/2022,Home,WM5,Westminster - Covent Garden,16.18402969,18.50989637,15.44095211,19.40671562,16.28476421,18.02934673,21.7845474,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31.24775853,41.94369902,48.93414102,43.00329588,45.28198778,47.24275465
14,07/01/2022,Work,WM5,Westminster - Covent Garden,-999,-999,-999,-999,-999,-999,-999,30.0375828,36.28273744,32.26250942,29.98951726,25.38327979,21.94082635,33.95382485,35.59312337,35.96334927,31.67366642,34.10758818,-999,-999,-999,-999,-999,-999
15,08/01/2022,Home,WM5,Westminster - Covent Garden,34.63452901,26.47752292,25.94771085,20.17207232,19.11155629,20.16987672,20.38131921,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,36.53876908,27.63034909,14.63870913,17.87197925,18.29467226,20.62740725
16,08/01/2022,Work,WM5,Westminster - Covent Garden,-999,-999,-999,-999,-999,-999,-999,28.27544657,28.38149707,27.10956115,23.71715609,22.86759473,21.70053783,21.85873694,25.46198901,38.3432545,29.27729208,31.07930007,-999,-999,-999,-999,-999,-999
17,09/01/2022,Home,WM5,Westminster - Covent Garden,24.2328755,21.31409021,15.79589472,16.48437886,15.52802263,21.57525131,26.61515508,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,59.05201625,64.36457077,65.27189065,59.4274059,48.64326818,57.99531814
