Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2019-01-01,Home,LH0,Hillingdon - Harlington,7.589066666666666,16.600311843137252,8.436387607843137,5.828031686274509,10.015410823529411,15.013508810457516,18.546943895424835,20.2342154248366,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.255841516339867,30.377638692810454,19.746923241830068,7.291366326797386,11.167652653594772,18.369406274509803
2019-01-01,Work,LH0,Hillingdon - Harlington,-999,-999,-999,-999,-999,-999,-999,-999,21.495484549019608,18.856488732026143,16.89919064052287,15.427866457516338,11.118347189542483,18.364412810457512,23.501968261437906,27.637605124183004,28.19928993464052,23.017782013071894,-999,-999,-999,-999,-999,-999
2019-01-02,Home,LH0,Hillingdon - Harlington,17.110733751633987,16.93620219607843,17.304889620915027,22.80071613071895,19.13238760784314,23.053195660130715,35.393063999999995,57.92421296732026,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49.17283764705882,47.98596115032679,50.548686797385614,44.43221265359477,34.201633464052286,40.74067450980392
2019-01-02,Work,LH0,Hillingdon - Harlington,-999,-999,-999,-999,-999,-999,-999,-999,52.802087320261435,43.39899503267974,35.23452151633987,26.65580020915032,22.921298300653593,20.987978823529414,16.686469071895424,29.479763921568626,29.62110891503268,41.36831299346405,-999,-999,-999,-999,-999,-999
2019-01-03,Home,LH0,Hillingdon - Harlington,37.561016366013064,30.107702013071894,24.28459388235294,22.328853751633986,28.84070039215686,29.079298091503265,40.97261092810457,58.804430849673196,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31.423519738562085,44.3069765751634,44.58632094117647,58.10673406535947,57.7372376993464,56.489301124183
2019-01-03,Work,LH0,Hillingdon - Harlington,-999,-999,-999,-999,-999,-999,-999,-999,44.53969197385621,32.181277908496725,27.69312245751634,25.0509008627451,21.21058745098039,21.057038431372547,25.687527581699346,31.497682666666666,31.376111790849674,43.483264732026136,-999,-999,-999,-999,-999,-999
2019-01-04,Home,LH0,Hillingdon - Harlington,55.92102494117646,45.627198535947706,46.678063058823525,47.38608632679738,45.51839095424837,31.462159163398695,39.61864313725489,52.647319895424836,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.81862326797383,58.98663236601307,52.60978901960783,52.32601045751634,53.3643313986928,54.45838938562091
2019-01-04,Work,LH0,Hillingdon - Harlington,-999,-999,-999,-999,-999,-999,-999,-999,60.64426269281046,55.41089265359477,46.58380643137254,44.99667383006536,39.816384313725486,26.201584732026145,30.338340130718954,38.1836214379085,61.75342091503268,77.29286133333333,-999,-999,-999,-999,-999,-999
2019-01-05,Home,LH0,Hillingdon - Harlington,44.659934588235295,40.80832596078431,29.115271006535945,27.443199581699346,27.55222687581699,39.88543393464052,45.26314504575163,52.29680867973856,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,48.24499210457516,52.57292726797385,46.799534065359474,50.91152188235294,44.44043189542484,36.73771398692811
2019-01-05,Work,LH0,Hillingdon - Harlington,-999,-999,-999,-999,-999,-999,-999,-999,30.10950964705882,23.273477333333332,21.291861071895422,22.423559790849673,27.33805720261438,26.569972549019607,37.23455367320261,48.56063895424837,43.14429840522875,48.297503372549016,-999,-999,-999,-999,-999,-999
2019-01-06,Home,LH0,Hillingdon - Harlington,45.33733793464052,26.642327843137252,22.75753265359477,18.91910677124183,17.666386457516335,27.46584993464052,31.04912977777778,34.959281777777775,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,61.90263560784314,55.178516810457516,44.45941704575163,38.47228360784314,46.616333856209145,50.08004020915032
2019-01-06,Work,LH0,Hillingdon - Harlington,-999,-999,-999,-999,-999,-999,-999,-999,38.42077103267974,39.784735738562084,35.49110567320261,37.48814175163398,32.01762211764706,29.97971952941176,40.96451152941176,44.220369934640516,55.27088590849672,61.13999383006536,-999,-999,-999,-999,-999,-999
2019-01-07,Home,LH0,Hillingdon - Harlington,44.59375121568626,28.705057934640518,25.62768590849673,24.781773124183,17.900989385620914,28.021432732026142,48.0248202875817,60.876858248366005,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.21556983006536,17.848468130718953,20.86551911111111,15.875410666666665,16.320627921568626,13.326786562091502
2019-01-07,Work,LH0,Hillingdon - Harlington,-999,-999,-999,-999,-999,-999,-999,-999,29.633542640522872,28.96359952941176,20.30915733333333,17.567236235294114,19.12628559477124,16.919404183006534,16.96258766013072,19.239307660130713,19.358991006535945,23.47387503267974,-999,-999,-999,-999,-999,-999
2019-01-08,Home,LH0,Hillingdon - Harlington,11.510833464052286,12.300310117647058,5.238583215686274,10.362256836601304,6.522502692810457,9.531554143790848,29.498199790849668,44.521925228758164,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.225683973856206,54.09344705882353,41.290484862745096,39.9921342745098,39.45199126797385,37.49890766013071
2019-01-08,Work,LH0,Hillingdon - Harlington,-999,-999,-999,-999,-999,-999,-999,-999,48.31216418300653,38.63316303267973,24.91522844444444,18.758227346405224,20.409755660130717,20.162609150326794,22.83469166013072,33.50782159477124,63.50332047058823,52.449359006535936,-999,-999,-999,-999,-999,-999
2019-01-09,Home,LH0,Hillingdon - Harlington,31.87969265359477,31.425806745098036,21.317397647058822,13.084973071895424,13.117500496732026,16.900748601307185,26.81568094117647,41.26994175163398,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.3219379869281,40.574911477124175,45.40025558169934,34.313107555555554,25.031366431372547,30.232868183006534
