id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,2022-01-01,Home,HI0,Hillingdon - Keats Way,9.131078326797386,9.55,5.73,5.73,5.73,9.55,13.37,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.92,24.83,24.83,17.189999999999998,15.28,9.55
2,2022-01-01,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.651927581699347,21.01,24.83,24.83,24.83,30.56,30.56,28.65,28.65,24.83,24.83,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
3,2022-01-02,Home,HI0,Hillingdon - Keats Way,7.64,7.64,5.73,5.73,7.64,7.64,7.64,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.1,15.28,11.46,9.55,11.46,7.64
4,2022-01-02,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.1,13.37,13.37,15.28,15.28,28.65,40.11,28.65,15.28,22.92,26.74,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
5,2022-01-03,Home,HI0,Hillingdon - Keats Way,5.73,3.82,1.91,1.91,3.82,7.64,13.37,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,55.39,42.02,42.02,43.93,38.2,22.92
6,2022-01-03,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.37,21.01,24.83,19.1,21.01,24.83,22.92,26.74,38.2,42.02,57.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7,2022-01-04,Home,HI0,Hillingdon - Keats Way,15.28,15.28,15.28,13.37,22.92,26.74,43.93,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,49.66,40.11,22.92,15.28,9.55,9.55
8,2022-01-04,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.1,28.65,17.189999999999998,7.64,7.64,11.46,13.37,19.1,21.01,21.01,36.29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
9,2022-01-05,Home,HI0,Hillingdon - Keats Way,7.64,5.73,3.82,3.82,5.73,11.46,13.37,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,53.48,53.48,51.57,51.57,51.57,53.48
10,2022-01-05,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,49.66,32.47,28.65,15.28,7.64,7.64,7.64,5.73,13.37,24.83,45.84,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
11,2022-01-06,Home,HI0,Hillingdon - Keats Way,47.75,40.11,38.2,38.2,42.02,55.39,61.12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,26.74,26.74,28.65,34.379999999999995,22.92,15.28
12,2022-01-06,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.92,82.13,84.03999999999999,74.49,76.39999999999999,64.94,61.12,51.57,53.48,40.11,32.47,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
13,2022-01-07,Home,HI0,Hillingdon - Keats Way,19.1,7.64,9.55,11.46,9.55,19.1,40.11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,26.74,30.56,28.65,22.92,51.57,45.84
14,2022-01-07,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,68.75999999999999,47.75,38.2,21.01,17.189999999999998,22.92,28.65,34.379999999999995,43.93,32.47,42.02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
15,2022-01-08,Home,HI0,Hillingdon - Keats Way,49.66,40.11,24.83,19.1,19.1,19.1,32.47,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.46,5.73,3.82,5.73,7.64,11.46
16,2022-01-08,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,47.75,40.11,42.02,42.02,36.29,34.379999999999995,32.47,28.65,24.83,9.55,13.37,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
17,2022-01-09,Home,HI0,Hillingdon - Keats Way,11.46,7.64,7.64,11.46,11.46,11.46,34.379999999999995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,82.13,85.95,80.22,70.67,63.03,63.03
18,2022-01-09,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,51.57,55.39,49.66,26.74,11.46,13.37,19.1,24.83,26.74,70.67,78.31,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
19,2022-01-10,Home,HI0,Hillingdon - Keats Way,51.57,49.66,47.75,43.93,42.02,36.29,45.84,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,63.03,64.94,53.48,53.48,47.75,34.379999999999995
20,2022-01-10,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,55.39,66.85,76.39999999999999,76.39999999999999,72.58,74.49,74.49,72.58,70.67,68.75999999999999,68.75999999999999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
21,2022-01-11,Home,HI0,Hillingdon - Keats Way,21.01,13.37,7.64,9.55,19.1,34.379999999999995,43.93,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30.56,24.83,28.65,21.01,22.92,28.65
22,2022-01-11,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.84,49.66,45.84,49.66,49.66,47.75,49.66,43.93,38.2,40.11,36.29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
23,2022-01-12,Home,HI0,Hillingdon - Keats Way,32.47,24.83,21.01,24.83,24.83,34.379999999999995,34.379999999999995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,68.75999999999999,64.94,63.03,70.67,57.3,57.3
24,2022-01-12,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,55.39,70.67,57.3,57.3,61.12,55.39,55.39,47.75,45.84,70.67,82.13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
25,2022-01-13,Home,HI0,Hillingdon - Keats Way,49.66,45.84,38.2,36.29,40.11,40.11,34.379999999999995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,85.95,78.31,87.86,72.58,64.94,66.85
26,2022-01-13,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,57.3,63.03,53.48,51.57,64.94,64.94,64.94,76.39999999999999,87.86,91.68,89.77,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
27,2022-01-14,Home,HI0,Hillingdon - Keats Way,59.21,45.84,45.84,42.02,45.84,40.11,38.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,89.77,87.86,82.13,72.58,66.85,68.75999999999999
28,2022-01-14,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,53.48,55.39,80.22,53.48,55.39,66.85,105.05,97.41,101.23,95.5,95.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
29,2022-01-15,Home,HI0,Hillingdon - Keats Way,63.03,57.3,53.48,51.57,49.66,47.75,49.66,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,55.39,49.66,49.66,51.57,51.57,43.93
30,2022-01-15,Work,HI0,Hillingdon - Keats Way,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,42.02,51.57,51.57,57.3,47.75,51.57,47.75,49.66,49.66,45.84,49.66,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
31,2022-01-16,Home,HI0,Hillingdon - Keats Way,38.2,36.29,30.56,22.92,22.92,26.74,32.47,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,49.66,47.75,32.47,19.1,19.1,24.83
