 "tick, patch-x, patch-y, monitor_type, monitor_code, no2"
9, 47, 73, Roadside, BT4, 161
9, 70, 75, Roadside, IS2, 128
9, 49, 70, Roadside, BT6, 145
9, 101, 59, Roadside, GN0, 158
9, 104, 50, Roadside, GB6, 129
9, 48, 43, Roadside, KT6, 67
9, 65, 64, Kerbside, WM6, 214
9, 67, 64, Roadside, WMB, 230
9, 105, 58, Roadside, GN3, 97
9, 94, 81, Roadside, RB4, 56
9, 87, 52, Roadside, LW4, 145
9, 54, 68, Roadside, BT8, 162
10, 118, 81, Roadside, HV3, 121
10, 54, 68, Roadside, BT8, 112
10, 46, 66, Roadside, EI1, 142
10, 65, 64, Kerbside, WM6, 164
10, 47, 73, Roadside, BT4, 132
10, 104, 50, Roadside, GB6, 101
10, 67, 64, Roadside, WMB, 164
10, 94, 81, Roadside, RB4, 93
10, 123, 67, Roadside, HV1, 126
10, 49, 70, Roadside, BT6, 127
10, 48, 43, Roadside, KT6, 91
10, 105, 58, Roadside, GN3, 138
10, 70, 75, Roadside, IS2, 125
10, 101, 59, Roadside, GN0, 98
10, 87, 52, Roadside, LW4, 145
11, 104, 50, Roadside, GB6, 163
11, 123, 67, Roadside, HV1, 88
11, 47, 73, Roadside, BT4, 155
11, 54, 68, Roadside, BT8, 164
11, 67, 64, Roadside, WMB, 178
11, 49, 70, Roadside, BT6, 145
11, 70, 75, Roadside, IS2, 128
11, 101, 59, Roadside, GN0, 125
11, 105, 58, Roadside, GN3, 164
11, 65, 64, Kerbside, WM6, 171
11, 87, 52, Roadside, LW4, 164
11, 94, 81, Roadside, RB4, 98
11, 118, 81, Roadside, HV3, 82
11, 48, 43, Roadside, KT6, 121
11, 46, 66, Roadside, EI1, 175
12, 87, 52, Roadside, LW4, 85
12, 104, 50, Roadside, GB6, 83
12, 94, 81, Roadside, RB4, 78
12, 70, 75, Roadside, IS2, 103
12, 65, 64, Kerbside, WM6, 170
12, 101, 59, Roadside, GN0, 68
12, 118, 81, Roadside, HV3, 90
12, 67, 64, Roadside, WMB, 138
12, 48, 43, Roadside, KT6, 79
12, 105, 58, Roadside, GN3, 76
12, 49, 70, Roadside, BT6, 75
12, 54, 68, Roadside, BT8, 96
12, 46, 66, Roadside, EI1, 124
12, 123, 67, Roadside, HV1, 93
12, 47, 73, Roadside, BT4, 126
13, 67, 64, Roadside, WMB, 198
13, 101, 59, Roadside, GN0, 64
13, 49, 70, Roadside, BT6, 127
13, 118, 81, Roadside, HV3, 99
13, 65, 64, Kerbside, WM6, 189
13, 46, 66, Roadside, EI1, 133
13, 47, 73, Roadside, BT4, 221
13, 87, 52, Roadside, LW4, 100
13, 54, 68, Roadside, BT8, 88
13, 104, 50, Roadside, GB6, 66
13, 48, 43, Roadside, KT6, 69
13, 94, 81, Roadside, RB4, 129
13, 70, 75, Roadside, IS2, 123
13, 105, 58, Roadside, GN3, 81
13, 123, 67, Roadside, HV1, 92
14, 104, 50, Roadside, GB6, 103
14, 48, 43, Roadside, KT6, 83
14, 46, 66, Roadside, EI1, 99
14, 105, 58, Roadside, GN3, 73
14, 94, 81, Roadside, RB4, 53
14, 118, 81, Roadside, HV3, 40
14, 65, 64, Kerbside, WM6, 141
14, 123, 67, Roadside, HV1, 56
14, 87, 52, Roadside, LW4, 104
14, 67, 64, Roadside, WMB, 128
14, 101, 59, Roadside, GN0, 78
14, 49, 70, Roadside, BT6, 87
14, 70, 75, Roadside, IS2, 106
14, 47, 73, Roadside, BT4, 87
14, 54, 68, Roadside, BT8, 103
15, 104, 50, Roadside, GB6, 168
15, 46, 66, Roadside, EI1, 144
15, 49, 70, Roadside, BT6, 138
15, 87, 52, Roadside, LW4, 147
15, 67, 64, Roadside, WMB, 222
15, 118, 81, Roadside, HV3, 42
15, 54, 68, Roadside, BT8, 166
15, 123, 67, Roadside, HV1, 46
15, 101, 59, Roadside, GN0, 154
15, 65, 64, Kerbside, WM6, 197
15, 105, 58, Roadside, GN3, 120
15, 48, 43, Roadside, KT6, 79
15, 47, 73, Roadside, BT4, 114
15, 70, 75, Roadside, IS2, 159
15, 94, 81, Roadside, RB4, 63
16, 123, 67, Roadside, HV1, 48
16, 67, 64, Roadside, WMB, 137
16, 65, 64, Kerbside, WM6, 141
16, 105, 58, Roadside, GN3, 79
16, 87, 52, Roadside, LW4, 109
16, 48, 43, Roadside, KT6, 87
16, 104, 50, Roadside, GB6, 120
16, 46, 66, Roadside, EI1, 130
16, 118, 81, Roadside, HV3, 45
16, 49, 70, Roadside, BT6, 117
16, 47, 73, Roadside, BT4, 127
16, 54, 68, Roadside, BT8, 162
16, 101, 59, Roadside, GN0, 104
16, 70, 75, Roadside, IS2, 91
16, 94, 81, Roadside, RB4, 44
17, 49, 70, Roadside, BT6, 151
17, 94, 81, Roadside, RB4, 55
17, 54, 68, Roadside, BT8, 195
17, 65, 64, Kerbside, WM6, 130
17, 123, 67, Roadside, HV1, 58
17, 87, 52, Roadside, LW4, 161
17, 101, 59, Roadside, GN0, 149
17, 70, 75, Roadside, IS2, 137
17, 46, 66, Roadside, EI1, 154
17, 104, 50, Roadside, GB6, 118
17, 118, 81, Roadside, HV3, 62
17, 47, 73, Roadside, BT4, 172
17, 48, 43, Roadside, KT6, 95
17, 105, 58, Roadside, GN3, 69
17, 67, 64, Roadside, WMB, 229
18, 123, 67, Roadside, HV1, 121
18, 65, 64, Kerbside, WM6, 168
18, 104, 50, Roadside, GB6, 123
18, 67, 64, Roadside, WMB, 201
18, 94, 81, Roadside, RB4, 106
18, 105, 58, Roadside, GN3, 135
18, 118, 81, Roadside, HV3, 106
18, 49, 70, Roadside, BT6, 113
18, 101, 59, Roadside, GN0, 117
18, 87, 52, Roadside, LW4, 128
18, 70, 75, Roadside, IS2, 137
18, 54, 68, Roadside, BT8, 193
18, 48, 43, Roadside, KT6, 159
18, 46, 66, Roadside, EI1, 154
18, 47, 73, Roadside, BT4, 132
19, 47, 73, Roadside, BT4, 225
19, 48, 43, Roadside, KT6, 217
19, 101, 59, Roadside, GN0, 152
19, 67, 64, Roadside, WMB, 242
19, 94, 81, Roadside, RB4, 125
19, 105, 58, Roadside, GN3, 229
19, 118, 81, Roadside, HV3, 155
19, 87, 52, Roadside, LW4, 189
19, 54, 68, Roadside, BT8, 208
19, 65, 64, Kerbside, WM6, 179
19, 104, 50, Roadside, GB6, 220
19, 70, 75, Roadside, IS2, 162
19, 46, 66, Roadside, EI1, 217
19, 123, 67, Roadside, HV1, 156
19, 49, 70, Roadside, BT6, 159
20, 118, 81, Roadside, HV3, 92
20, 94, 81, Roadside, RB4, 107
20, 105, 58, Roadside, GN3, 139
20, 70, 75, Roadside, IS2, 100
20, 48, 43, Roadside, KT6, 105
