tick, monitor_code,no2
15,GN3,41.13178765
15,HV1,20.50828651
15,HV3,18.64497171
15,IS2,59.4419557
15,KT6,33.75896312
15,LW4,55.61748598
15,RB4,24.14996499
15,WMB,75.44086847
16,BT4,47.18748314
16,BT6,45.0958674
16,BT8,61.76825177
16,EI1,44.58500185
16,EN5,51.67825257
16,GB6,40.14927706
16,GN0,40.01919414
16,GN3,29.80790064
16,HV1,19.48824456
16,HV3,20.67898979
16,IS2,37.36860989
16,KT6,33.00285315
16,LW4,42.5648191
16,RB4,20.64576391
16,WMB,60.53861487
17,BT4,66.51329051
17,BT6,55.66913105
17,BT8,91.43222988
17,EI1,55.93049682
17,EN5,54.43605209
17,GB6,53.32085505
17,GN0,57.61718551
17,GN3,27.75647274
17,HV1,19.62142022
17,HV3,24.19708996
17,IS2,47.34277505
17,KT6,36.22436528
17,LW4,55.34089948
17,RB4,20.06948229
17,WMB,92.8743658
18,BT4,61.49318295
18,BT6,54.07870814
18,BT8,65.53244687
18,EI1,56.94706078
18,EN5,58.39371756
18,GB6,52.9111102
18,GN0,47.49071132
18,GN3,57.98936933
18,HV1,46.79147028
18,HV3,41.59491595
18,IS2,47.56441865
18,KT6,53.77281467
18,LW4,57.25780283
18,RB4,42.45452394
18,WMB,70.41892959
19,BT4,82.00047685
19,BT6,75.57416132
19,BT8,80.39634393
19,EI1,78.23217631
19,EN5,88.02091062
19,GB6,78.59766252
19,GN0,69.1789733
19,GN3,82.80364856
19,HV1,63.35634705
19,HV3,53.69054389
19,IS2,69.13231899
19,KT6,73.27051742
19,LW4,80.77843157
19,RB4,60.94899763
19,WMB,115.5929988
20,BT4,55.81951473
20,BT6,53.08278147
20,BT8,54.65561755
20,EI1,58.73095541
20,EN5,53.99244631
20,GB6,50.52484084
20,GN0,45.81821115
20,GN3,56.04323462
20,HV1,40.05346907
20,HV3,36.695732
20,IS2,48.39492352
20,KT6,51.6977476
20,LW4,53.59282068
20,RB4,37.1046189
20,WMB,73.40064117
21,BT4,67.2267104
21,BT6,69.56120234
21,BT8,88.42120245
21,EI1,70.29082901
21,EN5,73.87229939
21,GB6,84.24146835
21,GN0,66.92671014
21,GN3,73.8635383
21,HV1,41.59661842
21,HV3,43.26825794
21,IS2,58.16406896
21,KT6,64.42670616
21,LW4,73.45490057
21,RB4,42.32279963
21,WMB,99.08599703
22,BT4,52.17832702
22,BT6,38.16515924
22,BT8,36.42339705
22,EI1,37.53725354
22,EN5,36.49709609
22,GB6,23.7772328
22,GN0,25.90868223
22,GN3,32.56401603
22,HV1,32.45664493
22,HV3,27.30195273
22,IS2,40.73932954
22,KT6,20.2242162
22,LW4,39.49872509
22,RB4,29.58646646
22,WMB,60.4110002
23,BT4,59.82443478
23,BT6,39.07767987
23,BT8,37.22010534
23,EI1,43.56156159
23,EN5,44.13426125
23,GB6,34.6599418
23,GN0,34.59778273
23,GN3,43.52365045
23,HV1,36.13072272
23,HV3,23.6469358
23,IS2,43.14446832
23,KT6,23.60109886
23,LW4,40.40898053
23,RB4,23.66901563
23,WMB,61.68131183
24,BT4,22.20009939
24,BT6,16.98272777
24,BT8,16.59982577
24,EI1,22.73182209
24,EN5,23.65536265
24,GB6,17.18635559
24,GN0,16.56404882
24,GN3,20.78071012
24,HV1,14.45451905
24,HV3,7.587932304
24,IS2,18.80473088
24,KT6,11.56852801
24,LW4,23.94137865
24,RB4,8.372452016
24,WMB,43.63148712
25,BT4,37.66598558
25,BT6,21.71243496
25,BT8,17.1259365
25,EI1,25.83565002
25,EN5,32.76769495
25,GB6,24.3481433
25,GN0,23.05352584
25,GN3,29.23300152
25,HV1,27.52211977
25,HV3,13.07522834
25,IS2,25.90187572
25,KT6,13.01135658
25,LW4,30.11576139
25,RB4,14.54578167
25,WMB,39.3844145
26,BT4,45.682233
26,BT6,41.6173324
26,BT8,35.86822327
26,EI1,47.4947465
26,EN5,50.16907118
26,GB6,41.42471977
26,GN0,36.13189938
26,GN3,47.64732234
26,HV1,35.58122789
26,HV3,29.43906889
26,IS2,41.26020652
26,KT6,31.09214566
26,LW4,44.43068925
26,RB4,27.05126033
26,WMB,55.85691641
27,BT4,55.50959707
27,BT6,51.79404859
27,BT8,60.56129117
27,EI1,63.27747905
27,EN5,69.01418959
27,GB6,68.48554952
27,GN0,58.48820255
27,GN3,64.51462825
27,HV1,36.61035755
27,HV3,27.5721729
27,IS2,56.77573838
27,KT6,38.56968482
27,LW4,60.02477329
27,RB4,30.17250536
27,WMB,73.01738577
28,BT4,80.72723673
28,BT6,48.27536342
28,BT8,48.72192753
28,EI1,49.74371174
28,EN5,45.05901321
28,GB6,23.42711735
28,GN0,27.13041471
28,GN3,32.05909104
28,HV1,38.52496221
28,HV3,50.74220909
28,IS2,51.67211193
28,KT6,29.29891933
28,LW4,42.33885974
28,RB4,48.31998765
28,WMB,47.09613578
29,BT4,107.3097362
29,BT6,56.11774412
29,BT8,50.06595965
29,EI1,56.95096524
29,EN5,59.92651575
29,GB6,31.3122498
29,GN0,35.87886927
29,GN3,47.67541972
29,HV1,50.693128
29,HV3,52.2556838
29,IS2,67.87784143
29,KT6,42.24094032
29,LW4,48.5421796
29,RB4,64.79369094
29,WMB,65.69706984
30,BT4,62.83229607
30,BT6,38.36650162
30,BT8,37.4258686
30,EI1,42.36822996
30,EN5,37.76527296
30,GB6,21.46455222
30,GN0,25.86538342
30,GN3,30.67493866
30,HV1,34.50051455
30,HV3,50.88012862
30,IS2,44.49803111
30,KT6,27.73552913
30,LW4,37.1287542
30,RB4,38.6759482
30,WMB,47.92834378
31,BT4,71.65714441
31,BT6,43.58530415
31,BT8,37.82616269
31,EI1,53.42667697
31,EN5,34.9922992
31,GB6,26.44066489
31,GN0,25.5869212
31,GN3,27.15177666
31,HV1,29.2353219
31,HV3,49.91725801
31,IS2,60.49271304
31,KT6,32.98704137
31,LW4,32.16398977
31,RB4,35.57616972
31,WMB,63.62749378
32,BT4,61.61869098
32,BT6,51.66888444
32,BT8,65.63744949
32,EI1,60.64229572
32,EN5,59.84473806
32,GB6,53.08128503
32,GN0,43.24602614
32,GN3,54.08839406
32,HV1,46.98090945
32,HV3,44.72590255
32,IS2,50.74775701
32,KT6,52.98029614
32,LW4,58.30834455
32,RB4,42.69151489
32,WMB,78.12091807
33,BT4,61.42131258
33,BT6,51.71760474
33,BT8,68.13739631
33,EI1,54.0815152
33,EN5,61.98706548
33,GB6,59.04770008
33,GN0,48.27237507
33,GN3,44.19308602
33,HV1,22.89193491
33,HV3,20.03204371
33,IS2,61.04607449
33,KT6,33.85321069
33,LW4,58.23323222
33,RB4,25.03312531
33,WMB,120.6336717
34,BT4,99.10567287
34,BT6,62.85962661
34,BT8,66.67578467
34,EI1,69.76721955
34,EN5,74.84610253
34,GB6,59.06422307
34,GN0,52.18719427
34,GN3,63.73723978
34,HV1,60.69704914
34,HV3,74.31786521
34,IS2,68.5907411
34,KT6,52.67742701
34,LW4,53.78257067
34,RB4,70.0832328
34,WMB,75.73606572
35,BT4,110.7113241
35,BT6,60.60361708
35,BT8,63.15029851
35,EI1,74.23962093
35,EN5,65.1616801
35,GB6,52.33977368
35,GN0,35.72719064
35,GN3,59.0582074
35,HV1,63.10236538
35,HV3,80.1326011
35,IS2,72.12574118
35,KT6,73.52940552
35,LW4,66.1964038
35,RB4,76.05202449
35,WMB,77.49463118
36,BT4,65.50408034
36,BT6,39.25704899
36,BT8,41.21269642
36,EI1,44.57062723
36,EN5,51.31233793
36,GB6,45.48750007
36,GN0,33.24429905
36,GN3,41.29800575
36,HV1,30.68827812
36,HV3,38.61971813
36,IS2,39.52282291
36,KT6,31.35125373
36,LW4,40.01934714
36,RB4,48.64408835
36,WMB,54.43718591
37,BT4,83.22863767
37,BT6,48.85950373
37,BT8,48.39858424
37,EI1,54.63401402
37,EN5,60.02361613
37,GB6,53.93049399
37,GN0,24.3153352
37,GN3,48.63057732
37,HV1,32.76858403
37,HV3,40.67490367
37,IS2,45.72650551
37,KT6,47.3721087
37,LW4,51.48702539
37,RB4,52.6895975
37,WMB,60.7909194
38,BT4,79.33001038
38,BT6,64.00557407
38,BT8,61.59496297
38,EI1,52.88874463
38,EN5,80.54033954
38,GB6,72.88573774
38,GN0,57.61806581
38,GN3,65.03122159
38,HV1,47.14531132
38,HV3,49.24812344
38,IS2,59.81720285
38,KT6,59.89176439
38,LW4,68.19625518
38,RB4,55.84092373
38,WMB,78.83998464
39,BT4,84.03025257
39,BT6,42.96686311
39,BT8,59.86937636
39,EI1,43.27274146
39,EN5,55.4497495
39,GB6,69.42290724
39,GN0,52.61336718
39,GN3,37.70445545
39,HV1,26.61562302
39,HV3,42.50757996
39,IS2,45.12294259
39,KT6,51.1623878
39,LW4,62.46784387
39,RB4,34.99742027
39,WMB,66.2756488
40,BT4,84.02646004
40,BT6,62.06650479
40,BT8,65.09205786
40,EI1,57.62017267
40,EN5,62.96861266
40,GB6,50.13900347
40,GN0,45.74458145
40,GN3,58.90872334
40,HV1,53.93981581
40,HV3,59.47618154
40,IS2,66.26121837
40,KT6,56.66713624
40,LW4,56.8033603
40,RB4,65.48080796
40,WMB,69.81828644
41,BT4,115.852484
41,BT6,77.75765688
41,BT8,70.25098548
41,EI1,73.51237149
41,EN5,72.50304402
41,GB6,66.78927456
41,GN0,58.20036352
41,GN3,77.87944339
41,HV1,75.41715965
41,HV3,90.22328035
41,IS2,80.74424139
41,KT6,59.0937741
41,LW4,68.18556375
41,RB4,84.07780009
41,WMB,90.85419065
42,BT4,67.2695233
42,BT6,54.48917737
42,BT8,61.46058608
42,EI1,52.49632899
42,EN5,64.71528856
42,GB6,53.0610874
42,GN0,45.00435901
42,GN3,49.2472649
42,HV1,42.21761976
42,HV3,42.77363739
42,IS2,52.59493364
42,KT6,42.44539947
42,LW4,59.58031294
42,RB4,49.46320231
42,WMB,77.93457297
43,BT4,111.8242926
43,BT6,65.13338615
43,BT8,64.10117109
43,EI1,67.40132479
43,EN5,69.37287324
43,GB6,52.54294783
43,GN0,43.59997073
43,GN3,62.39259116
43,HV1,63.11983255
43,HV3,49.3841798
43,IS2,74.25583145
43,KT6,49.83248465
43,LW4,64.31590508
43,RB4,62.98103554
43,WMB,88.74481543
44,BT4,72.11035796
44,BT6,60.29504575
44,BT8,76.87336923
44,EI1,51.54140287
44,EN5,78.41129081
44,GB6,55.59070484
44,GN0,49.86087836
44,GN3,46.36021922
44,HV1,31.19186022
44,HV3,30.73771558
44,IS2,54.52331497
44,KT6,49.12732285
44,LW4,58.01649072
44,RB4,42.26976334
44,WMB,78.39681896
45,BT4,81.26957909
45,BT6,64.29615306
45,BT8,97.39962675
45,EI1,54.73358089
45,EN5,77.83395997
45,GB6,70.50024047
45,GN0,63.87651318
45,GN3,41.1978644
45,HV1,23.63121963
45,HV3,29.06431043
45,IS2,55.05331994
45,KT6,53.39066448
45,LW4,68.26710368
45,RB4,32.83166436
45,WMB,143.999357
46,BT4,103.8276794
46,BT6,78.35539417
46,BT8,82.90797369
46,EI1,67.56646947
46,EN5,87.52685786
46,GB6,74.35279818
46,GN0,65.47920734
46,GN3,75.93387919
46,HV1,66.38537567
46,HV3,73.88902422
46,IS2,74.1815823
46,KT6,63.83439915
46,LW4,76.16291684
46,RB4,81.11925772
46,WMB,95.06939855
47,BT4,120.0480491
47,BT6,90.56320604
47,BT8,89.88359765
47,EI1,81.62845723
47,EN5,87.35925705
47,GB6,76.75664383
47,GN0,69.37934698
47,GN3,86.44141058
47,HV1,81.25336608
47,HV3,83.74943522
47,IS2,92.26084467
47,KT6,76.46911383
47,LW4,82.54254526
47,RB4,87.95240627
47,WMB,105.3478749
48,BT4,78.53722603
48,BT6,61.44726796
48,BT8,59.29078525
48,EI1,54.39295282
48,EN5,55.99045093
48,GB6,51.99640562
48,GN0,52.11477547
48,GN3,59.78727922
48,HV1,61.71439209
48,HV3,62.30787793
48,IS2,64.60872064
48,KT6,42.7631691
48,LW4,60.78216064
48,RB4,66.85850379
48,WMB,76.04363986
49,BT4,75.58544764
49,BT6,57.60568037
49,BT8,48.60117478
49,EI1,54.60701321
49,EN5,59.69134403
49,GB6,50.81769157
49,GN0,48.80262368
49,GN3,60.89721769
49,HV1,65.66851075
49,HV3,49.17762369
49,IS2,65.42691346
49,KT6,42.15754915
49,LW4,63.74823198
49,RB4,51.58002146
49,WMB,94.33122444
