id,Date,daynight,weekday_weekend
0,2019-01-01,Home,Weekday
1,2019-01-01,Work,Weekday
2,2019-01-02,Home,Weekday
3,2019-01-02,Work,Weekday
4,2019-01-03,Home,Weekday
5,2019-01-03,Work,Weekday
6,2019-01-04,Home,Weekday
7,2019-01-04,Work,Weekday
8,2019-01-05,Home,Weekend
9,2019-01-05,Work,Weekend
10,2019-01-06,Home,Weekend
11,2019-01-06,Work,Weekend
12,2019-01-07,Home,Weekday
13,2019-01-07,Work,Weekday
14,2019-01-08,Home,Weekday
15,2019-01-08,Work,Weekday
16,2019-01-09,Home,Weekday
17,2019-01-09,Work,Weekday
18,2019-01-10,Home,Weekday
19,2019-01-10,Work,Weekday
20,2019-01-11,Home,Weekday
21,2019-01-11,Work,Weekday
22,2019-01-12,Home,Weekend
23,2019-01-12,Work,Weekend
24,2019-01-13,Home,Weekend
25,2019-01-13,Work,Weekend
26,2019-01-14,Home,Weekday
27,2019-01-14,Work,Weekday
28,2019-01-15,Home,Weekday
29,2019-01-15,Work,Weekday
30,2019-01-16,Home,Weekday
31,2019-01-16,Work,Weekday
32,2019-01-17,Home,Weekday
33,2019-01-17,Work,Weekday
34,2019-01-18,Home,Weekday
35,2019-01-18,Work,Weekday
36,2019-01-19,Home,Weekend
37,2019-01-19,Work,Weekend
38,2019-01-20,Home,Weekend
39,2019-01-20,Work,Weekend
40,2019-01-21,Home,Weekday
41,2019-01-21,Work,Weekday
42,2019-01-22,Home,Weekday
43,2019-01-22,Work,Weekday
44,2019-01-23,Home,Weekday
45,2019-01-23,Work,Weekday
46,2019-01-24,Home,Weekday
47,2019-01-24,Work,Weekday
48,2019-01-25,Home,Weekday
49,2019-01-25,Work,Weekday
50,2019-01-26,Home,Weekend
51,2019-01-26,Work,Weekend
52,2019-01-27,Home,Weekend
53,2019-01-27,Work,Weekend
54,2019-01-28,Home,Weekday
55,2019-01-28,Work,Weekday
56,2019-01-29,Home,Weekday
57,2019-01-29,Work,Weekday
58,2019-01-30,Home,Weekday
59,2019-01-30,Work,Weekday
60,2019-01-31,Home,Weekday
