monitor_code,rmse
BL0,32.217076501396356
BQ7,10.646849617401054
CT3,24.451750537766767
HG4,29.173231228209932
IS6,26.49519517642296
KC1,23.743876571978063
LB6,13.978319153774322
LW1,14.893109551092058
NM3,21.474816514944507
SK6,30.17569822730344
WA2,11.898297887809969
WA9,8.204754945447538
