msoa_home,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,others
Barking and Dagenham,54.88841360312644,0.29114363459234294,0.21051924347446335,0.2687479703929319,0.11309810420702551,1.7278254929845582,0.12989485235658377,0.2385138237237271,0.6841875412920059,0.5095013605366001,1.2048867339283116,0.38184607459995745,0.5554124721453927,0.07054634222814463,6.673907931424476,0.11981680346684882,0.09630135605746727,0.9014254840262924,0.6617918770925948,0.045911111608792535,0.6170005486937729,0.30346124990201895,0.10190027210732003,5.666103042450982,5.424229869097343,0.04927046123870418,1.1007468954010504,0.05710894370849804,4.03345912231392,1.5665767107487991,0.4210384869489267,2.6919588367692016,6.439873240540632
Barnet,0.05238404336487764,71.97168984091194,0.015373577944040177,2.697208841515493,0.020498103925386903,4.18730711853598,0.04896769271064649,0.5830571783221163,2.1278170658103015,0.06832701308462301,0.5972919727147461,0.5090362474804414,1.7537266691719906,1.019211278512293,0.063771878878981475,0.32626148747907485,0.1793584093471354,1.4542265951510596,0.7920239600059217,0.026761413458144014,0.4185029551433159,0.047828909159236106,0.0552310022434036,0.22434035962784551,0.10818443738398642,0.056939177570519174,0.4982178037420427,0.02619202168243882,0.5688223839294866,0.2334506280391286,0.21750765831938323,3.5957090635782856,4.458337603771652
Bexley,0.23378957193827257,0.08985196234941073,67.6969110116633,0.09246900979648094,2.799368419216107,0.8662427049802413,0.3009604564130748,0.0671708844748022,0.09944780298866819,7.121858452627079,0.2678111887501854,0.20761909746757043,0.06542618617675539,0.022681077874608532,0.5644098994181431,0.06542618617675539,0.06542618617675539,0.46845149302556854,0.3820889272722514,0.03838336255702982,1.107011070110701,1.8790400669964145,0.08897961320038732,0.6751982413441155,0.17621452810272784,0.054957996388474525,1.6897403016583359,0.07153263021991922,1.2561827745937033,0.14655465703593207,0.31317334449940243,2.1075955440405467,7.460329922448161
Brent,0.04192844648554451,3.170838765469304,0.01899882731376236,63.746306693483405,0.03079120288782175,3.4977496216612836,0.06682346158633656,4.4208305763196,0.3531161352454452,0.11006217202455436,0.32691085619197985,1.954913817388513,0.4769360787730688,2.608735529772473,0.04716950229623758,1.347606475324454,0.6322023571648508,0.7894340314856427,2.475743738576136,0.06551319763366331,0.5175542613059401,0.0674785935626732,0.11661349178792067,0.23715777543386116,0.0615824057756435,0.26205279053465325,0.6643038240053458,0.032756598816831656,0.5358979566433658,0.1284058673619801,0.5057618857318807,6.28271565306831,3.538367804194155
Bromley,0.05630593332052649,0.04901928312610542,1.373202350275899,0.07551619292400023,76.39191579282067,0.7995442531514763,2.127039434026007,0.05696835606547387,0.055643510575579126,1.3685653910612674,0.20601347367863224,0.27291817091831666,0.05630593332052649,0.01656056862368426,0.061605315280105453,0.05763077881042124,0.0675671199846318,0.3464470956074748,0.47495710812726466,0.0695543882194739,1.8686945634965324,2.5543021045170606,0.207338319168527,0.19938924622915855,0.03312113724736852,0.049681705871052785,1.8713442544763217,0.3464470956074748,0.8326653903988448,0.06359258351494756,0.5438490736017912,2.157510880293586,4.0050079159518015
Camden,0.028589807733542992,1.1874980855039465,0.024505549485893993,1.2732675087045753,0.023484484923981745,77.62030693200731,0.045947905286051235,0.38085708159326914,0.28589807733542993,0.07351664845768198,0.6933028375384176,0.7576299049388893,0.6105966080235253,0.22463420362069494,0.04186364703840224,0.19400226676332744,0.16745458815360895,1.9849495083574136,1.3314681887335735,0.021442355800157242,0.6310178992617703,0.09087474601019022,0.05207429265752474,0.23892910748746643,0.05207429265752474,0.09598006881975148,0.7412928719482933,0.010210645619122497,0.9996222061120925,0.19400226676332744,0.2879402064592544,6.416369707056576,1.5887764583354607
Croydon,0.026577997941618883,0.061072846333932757,0.14533075470204368,0.16625385946459473,2.8234881643085763,0.8041258100634479,69.99852972777344,0.12893156448274692,0.0520250172474242,0.30592972098757054,0.20074870785690857,0.5343874054219115,0.06050735701602596,0.02883995521324602,0.027143487259525666,0.15720603037808614,0.18491500695551863,0.3585202275529015,0.7226953482848709,0.45804634750449563,3.2990646806681823,0.8900801863852791,1.777898415498931,0.17417070991528968,0.03901876293556815,0.2177133873941121,1.6512288082878115,3.164478223006367,0.549090127687488,0.05032854929370384,2.592768522602608,2.044243884233027,5.482984426424185
Ealing,0.019894495000705933,0.49736237501764835,0.019252737097457354,3.438538845605884,0.025028558226694565,1.2578454903672138,0.06096700080861496,66.9083954768903,0.11487466468149556,0.06096700080861496,0.15402189677965883,3.387839971249246,0.1225757595204785,1.283515806497157,0.019894495000705933,5.120586310020408,3.8896946515896342,0.3702943101744298,2.1184428386235576,0.1585142021023989,0.3735030996906727,0.03914723209816329,0.12835158064971572,0.1277098227464671,0.03080437935593177,0.8535380113206095,0.43061955307979616,0.05904172709886922,0.37478661549716985,0.06738457984110074,0.45693162711298796,3.525176162544442,3.7953562398120937
Enfield,0.24943894106379633,4.000314478894178,0.05003073316465829,0.5360435696213388,0.04431293508869734,2.3571622568149007,0.05932215503809483,0.27516903240562063,69.26397644267193,0.1250768329116457,1.2950812642051546,0.3659390768615006,4.810812356161643,0.2058407307345941,0.23657389539288423,0.17582229083579912,0.13865660334205296,1.920465428763383,0.5646325600011435,0.035021513215260806,0.34449733407664707,0.07790499878496791,0.04216876081021199,0.5839301285075118,0.3880955444058493,0.03573623797475592,0.47171834126677814,0.020012293265863318,0.7354517775204769,1.2736395214203011,0.217276326886516,2.317137670283174,5.878611146847349
Greenwich,0.246489084054849,0.14292224201499648,5.241517875636936,0.21541903144289323,2.220473093334438,1.4561497990803263,0.3469489208335059,0.15742159990057583,0.14706491569659058,65.98450640043085,0.46812212602013337,0.3283068892663325,0.18745598409213307,0.05281908944032478,0.2205973735448859,0.08699614731347613,0.1356725630722068,0.7270392311197648,0.6845768258834252,0.060068768383114465,1.5348605990306143,3.330709640001657,0.09735283151746137,1.6591408094784372,0.2133476946020962,0.05281908944032478,2.538423298396785,0.09424582625626579,1.969841335597995,0.27755913666680476,0.4857284891669083,3.070756866481627,3.9635030448651563
